                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0094,                0.54607,                0.96611,                0.58696,                0.70504,                0.60227,                0.36972,                 1.9553,                 1.2861,                 1.5603,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.0109,                0.55016,                0.96907,                0.62101,                0.67095,                0.62374,                0.40532,                 1.9406,                 1.2465,                  1.555,             0.00032553,             0.00032553,             0.00032553
                     81,                0.98011,                0.53485,                 0.9607,                0.69426,                0.64704,                0.63971,                0.41543,                 1.9392,                 1.2432,                 1.5718,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0049,                0.55794,                0.97686,                0.62332,                0.71637,                0.66324,                0.43678,                 1.9136,                 1.2755,                 1.5401,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.0011,                0.54488,                 0.9682,                0.64578,                0.71139,                0.65062,                0.42808,                   1.94,                 1.3017,                  1.584,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0037,                0.54356,                0.97063,                0.69377,                0.71039,                0.64566,                0.43478,                 1.9171,                 1.2744,                  1.564,             0.00026894,             0.00026894,             0.00026894
                     85,                0.97129,                0.52492,                0.95405,                0.75969,                0.68407,                0.68359,                0.47127,                 1.9426,                 1.2703,                 1.5921,             0.00025479,             0.00025479,             0.00025479
                     86,                0.98399,                0.53472,                 0.9601,                0.75781,                0.65505,                0.67934,                0.47462,                 1.9448,                 1.2834,                 1.5899,             0.00024064,             0.00024064,             0.00024064
                     87,                0.94451,                0.51289,                0.94464,                0.67058,                0.70384,                0.66801,                0.46873,                 1.9337,                 1.2918,                 1.5811,              0.0002265,              0.0002265,              0.0002265
                     88,                0.95058,                0.51786,                0.95088,                  0.738,                0.67967,                0.67869,                 0.4805,                 1.9365,                 1.2537,                  1.584,             0.00021235,             0.00021235,             0.00021235
                     89,                0.98136,                0.53492,                0.96582,                 0.7769,                0.65456,                0.68988,                0.48885,                 1.9258,                 1.2963,                 1.5846,              0.0001982,              0.0001982,              0.0001982
                     90,                0.95262,                0.52512,                0.96054,                0.74148,                0.68447,                0.67479,                0.48531,                 1.9159,                 1.3031,                 1.5826,             0.00018406,             0.00018406,             0.00018406
                     91,                0.94431,                0.50986,                0.94785,                0.64904,                0.72973,                0.66503,                0.46602,                  1.904,                 1.2626,                 1.5818,             0.00016991,             0.00016991,             0.00016991
                     92,                0.99014,                0.53046,                0.97698,                0.63819,                0.68317,                0.64514,                0.44979,                 1.8985,                 1.2574,                 1.5667,             0.00015576,             0.00015576,             0.00015576
                     93,                0.94047,                0.50074,                0.94563,                0.66308,                0.62912,                 0.6261,                0.38975,                 1.9445,                 1.2927,                  1.606,             0.00014161,             0.00014161,             0.00014161
                     94,                0.93401,                0.49078,                0.95285,                0.72164,                 0.6045,                0.64534,                 0.4213,                 1.9446,                 1.2944,                 1.6163,             0.00012747,             0.00012747,             0.00012747
                     95,                0.91283,                0.48195,                0.93233,                0.63803,                0.71872,                0.64599,                0.42548,                 1.9539,                 1.2981,                 1.6255,             0.00011332,             0.00011332,             0.00011332
                     96,                0.92342,                0.48615,                0.94634,                0.63351,                0.68101,                0.63834,                 0.4282,                 1.9436,                 1.3132,                 1.6002,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.90866,                0.48443,                0.94577,                0.62227,                 0.7175,                0.63551,                0.42642,                  1.941,                   1.33,                 1.5937,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.89592,                0.47257,                0.94566,                0.68574,                0.61216,                0.63549,                0.43183,                 1.9448,                 1.3282,                  1.609,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.91366,                0.48338,                0.94757,                0.71618,                0.60972,                0.63719,                0.44044,                 1.9377,                  1.316,                 1.5991,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.88854,                0.47101,                0.93244,                0.71942,                0.60727,                0.64206,                0.44035,                 1.9392,                 1.3182,                 1.5952,             4.2584e-05,             4.2584e-05,             4.2584e-05
